PID,GID,Article Name,A1,A1.1,A2,A3,B1,B1.1,B2,B3,MC1,MC2,MC3,MC4,MC A1.1,MC A1.2,MC A1.3,MC A1.4,MC A1.5,MC A1.6,MC A1.7,MC B1.1,MC B1.2,MC B1.3,MC B1.4,MC B1.5,MC B1.6,MC B1.7
1,2,Babylonian mathematics,diverse,(They) branch out into different directions,Y,Friction. Not directly related to gravity to my knowledge.,similar,They seem to focus mostly on certain special forms of gravity,N,-,1,2,2,0,-1,2,1,-2,2,-1,2,1,1,0,0,1,-1,1
1,2,Fire,diverse,They focus on subjects which are not really related to the article,Y,"2, 4, 6, 7, 8 (Accident, Atmosphere of Earth, Flood, Lightning, Earthquake)",similar,They seem to focus on subjects directly related to the article,N,-,1,1,-1,2,-2,-1,2,-2,-1,-2,-1,2,1,-1,1,1,1,1
1,2,Mainau,diverse,They branch out in some different directions,Y,Teutonic order. I don't know of any connection or relation to the article.,similar,Most of them are about people,Y,Prince Gustav (film). I don't see how this recommendation is related to the article's subject,1,1,2,-1,0,1,1,-1,1,0,1,-1,-1,-2,2,0,1,-1
1,2,Albert Einstein,diverse,They feature some related people as well as other kinds of related topics,Y,Sigmund Freud. I don't see any connection,diverse,Same as in A. They feature some related people as well as other kinds of related topics,Y,Pantur Silaban. Never heard this name.,1,2,2,1,1,2,1,-1,2,-1,2,1,1,0,0,1,-1,1
2,1,Babylonian mathematics,diverse,"The terms are about mathematics/astronomy in very different areas, not only the one that the article is about.",Y,Plimpton 322 is a special term while the rest is about mathematics in different parts of the world.,similar,The terms all occur in the article and are closely related.,N,-,0,1,2,0,-1,2,-1,1,1,-1,1,2,-1,-1,1,-1,1,-1
2,1,Fire,diverse,The terms are more general and about different topics,Y,"Earth is not a term, that would come to my mind thinking about fire.",similar,The terms belong to the same topic and could also occur in the articles of those terms.,Y,Gas burner is not a chemical/technical term like the other terms.,1,1,1,-1,0,1,1,-1,2,-1,1,2,-1,-1,1,-1,2,-1
2,1,Mainau,diverse,The terms describe geographic locations/areas of different categories.,Y,"Mainz, since I don't see a connection to the Mainau.",similar,All of the terms are names of persons that are somehow connected to Mainau.,N,-,2,0,1,-2,0,1,1,-1,1,0,1,0,-1,-2,2,-1,1,-1
2,1,Albert Einstein,similar,Set A contains two physicists and three physical terms connected to A. Einstein. Therefore it is not really diverse.,N,-,diverse,It contains different kinds of terms like physical terms and historic terms.,Y,"I don't know the 2 mentioned persons, therefore they are a surprise for me.",1,1,1,-1,0,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1
3,2,Water pollution in India,similar,The articles in approach A talk more about India and specifically about the pollution of the water and the heneral pollution,N,-,diverse,For example World Bank was a recommendation not as close to the topic as is excpeted (for the) recommendations.,Y,"World Bank, because I am not sure how the World Bank is related to the problem",-1,0,0,1,2,1,-1,1,-1,1,1,-1,0,-2,2,2,-1,0
3,2,Basketball,similar,They are all baseketball related,N,-,diverse,"They are all sports related, but not one is basketball related",Y,Cross country running I think is the most unsimilar sport among the recommended ones,1,0,2,-2,2,2,-2,2,-1,2,2,-2,-2,-2,2,-2,1,-2
3,2,Lake Constance,similar,"2 Topics adress the lake directly, the other ones are related to close by locations",Y,Bodanrück - not directly related to the lake,diverse,Related to countries/cities not the lake directly,N,-,1,0,1,-1,1,1,1,-1,1,1,1,-1,0,1,-1,0,1,0
3,2,Hillary Clinton,similar,All recommendations are related directly to Clinton,N,-,diverse,Related to political figures and parties in general,N,-,1,1,2,-1,2,2,1,-1,1,2,2,-1,-1,1,-1,0,1,-1
4,1,Water pollution in India,diverse,It (the recommendation list) seems farther from the core of the problem,Y,World Bank - I didn't make a connection with it,similar,It seemed to lead my thoughts into similar problems,N,-,-2,1,2,2,0,-1,0,0,-1,-1,-1,2,2,1,0,1,1,2
4,1,Basketball,diverse,"It's differetn sports, it leads to brader topics",N,-,similar,The articles go into detail about the subject,N,-,2,2,1,2,-1,-2,2,-2,-2,1,-1,2,2,2,-2,-2,2,2
4,1,Lake Constance,diverse,They are more about general things around thee lake,N,-,similar,They are specifying the topic,N,-,1,1,0,2,-1,-1,1,-1,-1,0,-1,2,2,1,-1,1,1,1
4,1,Hillary Clinton,diverse,"They are about connected People/Institutions, not about tthe topic/object itself",N,-,similar,They go into detial about the topic,Y,Hillary Clinton cattle futures controversy. I neever heard about this.,1,2,1,2,0,1,2,-2,0,0,1,2,2,2,-2,1,1,2
5,2,Transport in Greater Tokyo,similar,"General topics, not so specific ones",Y,Paris,diverse,Aim on more specific topics,Y,natural gas & Honolulu airport,-1,0,1,0,0,0,-1,2,0,-1,-1,-1,-1,-1,1,-1,0,-1
5,2,Mandarin Chinese,similar,-,N,-,diverse,-,Y,Spanish & English,-2,1,1,1,1,1,-1,1,1,0,1,-2,-1,1,-1,0,-2,-1
5,2,Spandau,similar,about other borroughs of Berlin,N,-,diverse,they are about totally different things,Y,English language,-1,-1,-1,1,-1,0,-2,2,-1,1,0,-1,-1,-1,1,-1,-1,-1
5,2,Brad Pitt,uncertain,"similar, because content about Brad Pitt, but diverse because on specific films for example",Y,James Hare,similar,also about actors,Y,Dede Gradne,-1,-1,1,0,0,-1,-1,1,0,-1,0,-2,-1,-1,1,0,0,-1
6,1,Transport in Greater Tokyo,diverse,"I chose diverse because not all of my choices were really much related to the article speically Approach A. Also, I think the names which are written make it feel like they are nott similar to the article",Y,Honolulu airport,similar,I think most of the choices are related to Japan and Tokyo area,N,-,-2,0,1,2,0,1,-1,1,1,-1,0,1,1,-1,1,2,1,1
6,1,Mandarin Chinese,diverse,Most of them are related to other languages,Y,Cantonese because I have no idea what it iis and I haven't read about it in the article,similar,Most of them,N,-,0,2,-2,2,-2,-2,1,-2,0,0,-2,2,1,-1,1,1,1,2
6,1,Spandau,diverse,"The article is talking about Spandau whcih is a part fo Berlin, but the recommended artciles are talking more about Berlin not Spandau",Y,2,similar,"I think #5, #3, #2 are relevant because both 3 & 4 are about Spandau, and #5 is aborders to Spandau",N,-,2,0,2,1,-1,0,0,0,2,1,1,1,1,0,0,0,1,1
6,1,Brad Pitt,diverse,Different people (actors) than the article,N,-,similar,Articles about his (Ex)wife & movies so it's all related to him,N,-,2,1,1,1,1,0,1,-1,2,1,1,2,1,1,-1,1,1,1
7,2,History of United States cricket,similar,The headlines of the recommendation are more similar to the article,Y,"Tioqua Cricket Team, because I haven't rread anything about them in the article",diverse,They are more diverse because the recommendations have a broader variety on the subject of cricket,Y,"History of basketball and of American football, because it is a cricket article but it is also interesting to maybe have a comparisson of the american sports",-2,-1,-1,0,0,1,-1,1,-1,1,-1,-2,1,1,0,1,2,1
7,2,Cancer,similar,They are all about the article 'cancer',N,-,diverse,They reprresent a broader variety of diseases,N,-,0,2,0,1,1,1,1,-1,0,2,1,-1,0,1,0,1,1,0
7,2,Appenzell,similar,"They are all about Appenzell, almost",Y,Vogtei Rheintal because it is the only recommendation in column A without the word Appenzell,diverse,They have little or less to do with the article Appenzell than approach A,Y,"Glares, because I have never heard of it neither read about it in the article",-2,-1,-2,0,1,1,-1,1,-1,2,0,-1,-1,1,-1,0,1,0
7,2,New York City,similar,They are all about the article,N,-,diverse,The articles are of a bigger variety,Y,"London, because at first hand it has nothing to do with the article except that it is an internationally known city",0,1,1,0,2,0,0,-1,1,1,2,0,-1,1,-1,-1,1,0
8,1,History of United States cricket,diverse,(They) take also topics outside the main topic (of the artticle) into account,Y,Bart King,similar,They have more connections to the main topic compared to the article at hand,N,-,-2,-1,-2,0,-1,0,1,1,0,-1,-1,1,1,-1,2,0,0,2
8,1,Cancer,diverse,In the approaches are also diseases included which are not directly linked to the topic,Y,Alzheimer's disease,similar,all are linked directly tot he topic,N,-,2,2,-1,1,-1,-1,2,-2,1,-1,1,1,1,2,-1,1,1,1
